id,pop,motu,rep,22,25,28,31,34
1,16,G,1,1,1,1,0.4,0.07
2,17,G,1,1,1,0.93,0.33,0
3,19,G,1,1,1,0.87,0.4,0
4,22,A,1,1,0.93,0.93,0.27,0
5,25,A,1,1,0.93,0.87,0.73,0
6,26,A,1,1,0.93,0.93,0.27,0
7,28,L,1,1,0.87,0.67,0.33,0
8,29,L,1,1,1,0.93,0.47,0
9,31,L,1,1,1,0.93,0.07,0
10,16,G,2,1,0.93,0.93,0.87,0
11,17,G,2,1,1,1,0.93,0
12,19,G,2,1,1,0.93,0.93,0.07
13,22,A,2,1,0.93,0.87,0.8,0.13
14,25,A,2,1,1,1,0.93,0
15,26,A,2,1,1,0.87,0.6,0
16,28,L,2,1,0.87,0.73,0.6,0
17,29,L,2,1,0.87,0.87,0.6,0
18,31,L,2,1,0.93,0.8,0.4,0
19,16,G,3,1,0.93,0.93,0.87,0
20,17,G,3,1,1,1,0.93,0
21,19,G,3,1,1,0.93,0.93,0.07
22,22,A,3,1,0.93,0.87,0.8,0.13
23,25,A,3,1,1,1,0.93,0
24,26,A,3,1,1,0.87,0.6,0
25,28,L,3,1,0.87,0.73,0.6,0
26,29,L,3,1,0.87,0.87,0.6,0
27,31,L,3,1,0.93,0.8,0.4,0
